"Apache Territory","1958","72 mins","Action; Western","No","","0","Vudu","US - Approved"
"The Apartment","1960","125 mins","Comedy; Drama; Romance","No","","0","Vudu","US - Approved"
"Apollo 13","1995","140 mins","Adventure; Drama; History","No","","0","Vudu","PG"
"The Apple Dumpling Gang","1975","100 mins","Comedy; Family; Western","No","","0","Vudu","G"
"The Apple Dumpling Gang Rides Again","1979","89 mins","Comedy; Family; Western","No","","0","Vudu","G"
"Aquamarine","2006","104 mins","Comedy; Family; Fantasy; Romance","No","","0","DVD","PG"
"Are We Done Yet?","2007","92 mins","Comedy; Family","No","","0","Vudu","PG"
"Argo","2012","120 mins","Drama; History; Thriller","No","","0","Vudu","R"
"Argylle","2024","139 mins","Action; Comedy; Thriller","No","","0","Vudu","PG-13"
"The Aristocats","1970","79 mins","Animation; Family; Musical; Romance","No","","0","Vudu","G"
"Arizona Raiders","1965","97 mins","Western","No","","0","Vudu","US - Approved"
"Armed and Dangerous","1986","88 mins","Action; Comedy; Crime","No","","0","Vudu","PG-13"
"Armour Of God","1986","88 mins","Action; Adventure; Comedy","No","","0","","R"
"Armour Of God 2: Operation Condor","1991","80 mins","Action; Adventure; Comedy; Crime; Thriller","No","","0","","PG-13"
"Army Of One","2016","92 mins","Biography; Comedy; Crime","No","","0","Vudu","R"
"Arrival","2016","116 mins","Drama; Science Fiction","No","","0","Vudu","PG-13"
"Arsenal","2017","92 mins","Action; Crime; Thriller","No","","0","Vudu","R"
"Arsenic and Old Lace","1943","118 mins","Comedy; Crime; Thriller","No","","0","Vudu","US - Approved"
"Art School Confidential","2006","102 mins","Comedy; Drama; Romance","No","","0","Vudu","R"
"Arthur Christmas","2010","97 mins","Animation; Comedy; Family","No","","0","Vudu","PG"
"Arthur the King","2024","107 mins","Adventure; Drama","No","","0","Vudu","PG-13"
"Artists and Models","1955","109 mins","Comedy; Musical; Romance","No","","0","Vudu","US - Approved"
"As Good as It Gets","1997","139 mins","Comedy; Drama; Romance","No","","0","Vudu","PG-13"
"Assassin's Creed","2016","115 mins","Action; Adventure; Drama; Fantasy; History; Science Fiction","No","","0","Vudu","PG-13"
"Assault on Precinct 13","2005","109 mins","Action; Crime; Drama; Thriller","No","","0","Vudu","R"
"Astro Boy","2009","94 mins","Action; Adventure; Animation; Comedy; Drama; Family; Fantasy; Science Fiction","No","","0","Vudu","PG"
"The A-Team: Season 2","1983","1121 mins","Action; Adventure; Crime","Yes","The A-Team","23","Vudu","TV-PG"
"The A-Team: Season 3","1985","1209 mins","Action; Adventure; Crime","Yes","The A-Team","25","Vudu","TV-PG"
"The A-Team: Season 5","1986","622 mins","Action; Adventure; Crime","Yes","The A-Team","13","Vudu","TV-PG"
"The A-Team: Season 4","1986","1126 mins","Action; Adventure; Crime","Yes","The A-Team","23","Vudu","TV-PG"
"The A-Team: Season 1","1983","702 mins","Action; Adventure; Crime","Yes","The A-Team","13","Vudu","TV-PG"
"Atlantis: The Lost Empire","2001","95 mins","Action; Adventure; Animation; Family; Fantasy; Science Fiction","No","","0","Vudu","PG"
"Atomic Blonde","2017","115 mins","Action; Thriller","No","","0","Vudu","R"
"Attack","1956","107 mins","Action; Drama; War","No","","0","Vudu","US - Approved"
"August Rush","2007","114 mins","Drama; Music","No","","0","Vudu","PG"
"Aurora Teagarden Mysteries: A Game of Cat and Mouse","2019","83 mins","","No","","0","Vudu",""
"Aurora Teagarden Mysteries: A Very Foul Play","2019","84 mins","","No","","0","Vudu",""
"Aurora Teagarden Mysteries: An Inheritance to Die For","2019","84 mins","","No","","0","Vudu",""
"Aurora Teagarden Mysteries: Something New","2023","84 mins","Crime; Drama; Mystery; Thriller","No","","0","Vudu","TV-PG"
"Austin Powers: International Man of Mystery","1997","94 mins","Adventure; Comedy","No","","0","Vudu","PG-13"
"Austin Powers: The Spy Who Shagged Me","1999","92 mins","Action; Comedy","No","","0","Vudu","PG-13"
"Austin Powers: Goldmember","2002","95 mins","Action; Comedy","No","","0","Vudu","PG-13"
"Avalon","1990","128 mins","Drama","No","","0","Vudu","PG"
"Avanti!","1972","144 mins","Comedy; Romance","No","","0","Vudu","R"
"Avatar","2009","162 mins","Action; Adventure; Fantasy; Science Fiction","No","","0","Vudu","PG-13"
"Avatar: Fire And Ash","2025","197 mins","Action; Adventure; Fantasy; Science Fiction","No","","0","","PG-13"
"Avatar: The Way of Water","2022","192 mins","Action; Adventure; Fantasy; Science Fiction","No","","0","Vudu","PG-13"
"The Avengers","2012","143 mins","Action; Adventure; Science Fiction","No","","0","Vudu","PG-13"
"Avengers: Age Of Ultron","2015","141 mins","Action; Adventure; Fantasy; Science Fiction","No","","0","Vudu","PG-13"
"Avengers: Endgame","2019","181 mins","Action; Adventure; Drama; Science Fiction","No","","0","Vudu","PG-13"
"Avengers: Infinity War","2018","149 mins","Action; Adventure; Fantasy; Science Fiction","No","","0","Vudu","PG-13"
"Average Joe","2024","100 mins","Family","No","","0","Vudu","PG-13"
"The Awful Truth","1937","90 mins","Comedy; Romance","No","","0","Vudu","US - Approved"
"Baby Boom","1987","110 mins","Comedy; Drama; Romance","No","Baby Boom","0","Vudu","PG"
"Baby Buggy Bunny","1954","7 mins","Animation; Comedy; Family","No","","0","Vudu","US - Approved"
"Babylon A.D.","2008","90 mins","Action; Adventure; Science Fiction; Thriller","No","","0","Blu-ray","PG-13"
"Back to the Future","1985","116 mins","Adventure; Comedy; Science Fiction","No","","0","Vudu","PG"
"Back to the Future Part II","1989","108 mins","Adventure; Comedy; Science Fiction","No","","0","Vudu","PG"
"Back to the Future Part III","1990","118 mins","Adventure; Comedy; Science Fiction; Western","No","","0","Vudu","PG"
"Backtrack","1990","116 mins","Action; Comedy; Crime; Drama; Romance; Thriller","No","","0","Vudu","R"
"Backwoods Bunny","1959","7 mins","Animation; Comedy; Family","No","","0","Vudu",""
"Bad Boys","1995","119 mins","Action; Comedy; Crime; Thriller","No","","0","Vudu","R"
"Bad Boys II","2003","147 mins","Action; Comedy; Crime; Thriller","No","","0","Vudu","R"
"Bad Boys for Life","2020","124 mins","Action; Comedy; Crime; Thriller","No","","0","Vudu","R"
"Bad Boys: Ride Or Die","2024","115 mins","Action; Adventure; Comedy; Crime; Thriller","No","","0","Vudu","R"
"The Bad Guys","2022","100 mins","Adventure; Animation; Comedy; Crime; Family","No","","0","Vudu","PG"
"The Bad Guys 2","2025","104 mins","Action; Adventure; Animation; Comedy; Crime; Family; Mystery","No","","0","Vudu","PG"
"Bad Moms","2016","100 mins","Comedy","No","","0","Vudu","R"
